Id,Unidade (Instância),W,Z,V,T
1,Cachoeira do Sul,-0.161526105847488,-0.239968262967882,-0.331351289283039,-0.238516181173164
2,Camaquã,-0.290858065441896,-0.280860774051675,-0.249778361568199,-0.255984705415053
3,Campanha Central,-0.608565298465527,-0.178725034733992,-0.399570613726354,-0.209625901501041
4,Campanha Meridional,-0.403624837745404,-0.198060672734785,-0.330540653058545,-0.231045655937928
5,Campanha Ocidental,4.25215546294995,0.06412125902948,-0.190699933861536,-0.088643727259498
6,Carazinho,-0.517698536401668,-0.332912870712022,-0.394878706644206,-0.282293889296816
7,Caxias do Sul,0.432122545070889,0.689024708350928,2.67258818734325,0.62072756515549
8,Cerro Largo,-0.412798880285957,-0.357380104340732,-0.421074621480662,-0.301378377048965
9,Cruz Alta,-0.014313336166738,-0.245300378216018,-0.395051747964282,-0.217960550238856
10,Erechim,-0.190729222347987,-0.187643081254167,-0.152756323688421,-0.172325597822808
11,Frederico Westphalen,0.089772411447218,-0.29348271697266,-0.386719695601136,-0.253943743629716
12,Gramado-Canela,-0.518153904314879,0.03460901177009,0.08232897599126,-0.005199858170647
13,Guaporé,-0.141395030583692,-0.279848217368162,0.012650636881416,-0.248567088377369
14,Ijuí,-0.353231423881634,-0.361102680116463,-0.434863261442772,-0.301998022825736
15,Jaguarão,-0.406778943960061,-0.342038533045676,-0.431160064898409,-0.302829618646667
16,Lajeado-Estrela,3.23285758848675,-0.115699018638458,0.163427687504499,-0.106561913220722
17,Litoral Lagunar,0.366156135267557,-0.047498149908726,-0.212356340163911,-0.03302128792448
18,Montenegro,-0.390318933964695,-0.15524956385612,0.059162175114179,-0.181147206972961
19,Não-Me-Toque,-0.490908931051213,-0.364249399926444,-0.396900105094236,-0.300300396927996
20,Osório,0.248001198830741,0.274636776222331,-0.291253193157479,0.020691018138858
21,Passo Fundo,0.64800447038047,-0.033024304501168,0.034328646744678,0.019220767843543
22,Pelotas,0.077074196140916,0.170471240050071,-0.098349630551433,0.027340123168626
23,Porto Alegre,-0.142352131615559,5.59929349738597,4.84630640768517,5.65639944041166
24,Restinga Seca,-0.622316083612358,-0.383154146382549,-0.4227441908001,-0.320426093847857
25,Sananduva,-0.637357349249549,-0.359458822450097,-0.419610346799074,-0.30229552161829
26,Santa Cruz do Sul,0.327395304881942,-0.050544039071775,0.03531584515482,-0.05045297105118
27,Santa Maria,-0.117665129425967,0.183137112017549,-0.310018869503606,0.031323682761551
28,Santa Rosa,-0.120185053621037,-0.241966013676263,-0.260620955269257,-0.205455872847244
29,Santiago,-0.505668411157083,-0.28735517402008,-0.421000213044125,-0.26951066598577
30,Santo Ângelo,-0.222827734555043,-0.220413306412695,-0.292236082206535,-0.206700716344948
31,São Jerônimo,-0.389243520082158,-0.261172854151839,0.566330802178397,-0.274340363222605
32,Serras de Sudeste,-0.650300751113905,-0.302511510524796,-0.153948226885013,-0.284868856594967
33,Soledade,-0.711373881656077,-0.363385617149968,-0.432031030151115,-0.304062699343993
34,Três Passos,-0.248889864573807,-0.290550666972034,-0.31890690444503,-0.254721448986051
35,Vacaria,-0.404457952335056,-0.241737690669174,-0.324018003309203,-0.171523665246399
