id,condominio,anunciante,num_suites,num_vagas,num_quartos,area,rua,regiao,descricao,tipo_imovel,localidade,bairro,preco
0,0.0,HELDER LOPES IMOVEIS,2.0,2.0,3.0,150.0,Rua Tomaz Soares Vieira,RS,"Sobrado Moderno Bougainville

Ótima oportunidade sobrado c/ dormitórios, cortinas automatizadas, closet, suíte c móveis planejados e hidro...",Casa,Pelotas,Laranjal,570000
1,0.0,HELDER LOPES IMOVEIS,0.0,0.0,0.0,360.0,Rua Professora Vanda da Silva Chagas,RS,"Terreno Colina do Sol 

ÁREA TOTAL –  360m²

10m de frente x 36m de fundo",Casa,Pelotas,Colina da Sol,200000
2,18.0,Fernanda,0.0,1.0,2.0,45.0,Rua Maestro Mendanha,RS,"Apartamento central, condomínio Reservas D´ouro, localização e posição privilegiadas, sacada com churrasqueira, 2 dormitórios, sala e cozinh...",Casa,Pelotas,Centro,170000
3,230.0,Alex Lara,0.0,1.0,2.0,55.0,Avenida Presidente Juscelino Kubitschek de Oliveira,RS,"Apartamento em condomínio fechado
2 dormitórios, estar/jantar, cozinha, área de serviço, banheiro auxiliar, vaga de garagem coberta e com a...",Casa,Pelotas,Centro,250000
4,680.0,Maria,1.0,1.0,3.0,147.0,Rua Almirante Barroso,RS,"Excelente apartamento com 3 dormitórios sendo 1 suíte, todo reformado, ensolarado, com 4 splits, aquecimento a gás na cozinha e suíte. Banhe...",Casa,Pelotas,Centro,600000
5,255.0,JWS - IMÓVEIS,0.0,1.0,3.0,92.0,,RS,"Apartamento andar baixo, dependências amplas, área de serviço fechada, próximo ao Paraíso Supermercado",Casa,Pelotas,Porto,275000
6,175.0,ROSANA,0.0,1.0,2.0,4696.0,Rua Maestro Mendanha,RS,"Vende-se apartamento no centro de Pelotas, no Condomínio Residencial Reserva d'Ouro. Condomínio com ótima estrutura de lazer e portaria 24 h...",Casa,Pelotas,Centro,210000
7,300.0,Marcelo Karam Nogueira,1.0,1.0,3.0,66.0,Av. Presidente Juscelino K. de Oliveira,RS,"Apartamento novo, moderno, pronto para morar. 15º andar, semimobiliado, ótima orientação solar, bela vista.

Fantástica área de lazer do c...",Casa,Pelotas,Centro,380000
8,0.0,Gladis Lopes-Corretora de Imoveis,2.0,1.0,3.0,180.0,Rua Padre Anchieta,RS,"Sobrado moderno e espaçoso, recém reformado, localizado próximo à Avenida Bento Gonçalves, com 3 dormitórios, sendo 2 suítes, closed com arm...",Casa,Pelotas,Centro,449000
9,640.0,JWS - IMÓVEIS,1.0,1.0,3.0,147.0,,RS,"Apartamento reformado e decorado, impecável. Ótima Localização, andar baixo. Apartamento belíssimo, amplo, corredor de entrada com persianas...",Casa,Pelotas,Centro,630000
10,200.0,JWS - IMÓVEIS,1.0,2.0,3.0,110.0,Jk de Oliveira,RS,"42 apartamentos, 31 opções de plantas exclusivas.Hall amplo com obras de arte, espaço gourmet, espaço fitness e espaço kids interligados, te...",Casa,Pelotas,Zona Norte,549000
11,0.0,REQUINTE IMÓVEIS,0.0,2.0,2.0,47.0,Rua Três de Maio,RS,"8333 - Requinte oferece: casa no porto, em ótimo estado, com 2 dormitórios, sala de estar, cozinha, área de serviço, banheiro social, garage...",Casa,Pelotas,Centro,180000
12,26.0,REQUINTE IMÓVEIS,0.0,0.0,2.0,76.0,Rua Bento Martins,RS,9757 - Bento Martins - Centro,Casa,Pelotas,Centro,200000
13,198.0,REQUINTE IMÓVEIS,0.0,0.0,2.0,50.0,Rua Padre Anchieta,RS,"2330 - ÓTIMO INVESTIMENTO APTO CENTRO - 2 dorm, próximo das universidades, ótimo estado de conservação, área de serviço, banheiro, cozinha, ...",Casa,Pelotas,Centro,170000
14,170.0,REQUINTE IMÓVEIS,1.0,1.0,3.0,147.0,Rua Vítor Valpírio,RS,"1683 - Requinte oferece: Excelente Apartamento, área nobre, com 3 dormitórios, sendo 1 suíte, sala de estar,sacada,  cozinha, dispensa, depe...",Casa,Pelotas,Três Vendas,403000
15,0.0,REQUINTE IMÓVEIS,0.0,3.0,2.0,75.0,Rua Guararapes,RS,"1891 - Requinte oferece: Casa  central, Com opção para comércio na garagem ampla (vaga 3 carros), 2 dormitórios, cozinha, 2 banheiros, pátio...",Casa,Pelotas,Centro,330000
16,80.0,Gladis Lopes-Corretora de Imoveis,2.0,2.0,3.0,194.0,Anchieta,RS,"Cobertura duplex, no centro, próxima de tudo, com 3 dormitórios, sendo 2 suítes, escritório (opção para mais um dormitório) ampla sala dois ...",Casa,Pelotas,Centro,980000
17,0.0,REQUINTE IMÓVEIS,0.0,0.0,0.0,420.0,Rua Cândido Portinari,RS,"2433 - TERRENO CENTRAL, PRÓXIMO AO FÓRUM, 300 m2 com piscina no fundo e benfeitorias.",Casa,Pelotas,Areal,400000
18,342.0,REQUINTE IMÓVEIS,0.0,1.0,2.0,87.0,Rua Marechal Deodoro,RS,"97470 - Requinte oferece: Apartamento central com 87m², 2 dorm, sala estar/social, banheiro, cozinha e vaga de garagem independente. Próximo...",Casa,Pelotas,Centro,260000
19,280.0,REQUINTE IMÓVEIS,1.0,3.0,2.0,83.0,Rua Doutor Armando Fagundes,RS,"Excelente apartamento, todo mobiliado, com cozinha planejada, 2 quartos, sendo uma suíte, 3 vagas de garagem, ótima localização, próximo a A...",Casa,Pelotas,Areal,380000
20,159.0,REQUINTE IMÓVEIS,0.0,1.0,2.0,93.0,Andrade Neves,RS,8119- Requinte oferece: apartamento amplo de 2 dormitórios com garagem e ótima posição solar.,Casa,Pelotas,Centro,265000
21,468.0,Moyses Imóveis,0.0,0.0,0.0,0.0,Veredas Altos do Laranjal,RS,"Excelente Lote medindo  Frente: 11,51m, Esquerda: 28m, Direita: 28m, Fundos: 14,90m. Residencial Veredas possui toda a estrutura que você pr...",Loteamento/Condomínio,Pelotas,Laranjal,233160
22,250.0,MAP Corretores de Imóveis,0.0,1.0,2.0,80.0,,RS,"Apartamento muito bom, central, térreo. Opção de dependência completa de empregada. Financia.",Apartamento,Pelotas,Centro,270000
23,260.0,MARQUES IMÓVEIS,0.0,1.0,3.0,74.0,,RS,"Apto ANCHIETA 3 Dorm,Sala,Cozinha,Áreas Serv,Sacada,2 wc,Garagem,Piso Frio. Preço: R$ 230.000,00",Apartamento,Pelotas,Areal,230000
24,0.0,Luan,0.0,0.0,0.0,165.0,Doutor José Brusque,RS,"Excelente terreno central, muito bem localizado, Rua Dr. José Brusque, próximo ao McDonald's, Subway, batalhão da brigada militar, posto do ...",Terreno Padrão,Pelotas,Centro,158000
25,50.0,Marcelo Karam Nogueira,0.0,0.0,0.0,50.0,Rua Coronel Alberto Rosa,RS,"Oportunidade, loja ou conjunto comercial central, próximo INSS, 50 metros da Barroso e Secretaria de Mobilidade da Prefeitura.

50 m² priv...",Loja/Salão,Pelotas,Centro,280000
26,0.0,REQUINTE IMÓVEIS,1.0,2.0,3.0,176.0,Rua Otacílio Câmara,RS,"7011 - Requinte oferece: Imóvel para pessoas exigentes, no Areal próximo á Domingos de Almeida, com 3 dormitórios, sendo 1 suíte, sala de es...",Casa,Pelotas,Areal,1300000
27,0.0,MARQUES IMÓVEIS,0.0,2.0,3.0,109.0,,RS,"0276 - Casa, bairro BARRO DURO, 3 dormitórios, estar social, sacada, cozinha, pátio, área serviço, 2 garagens, 2 banheiros, churrasqueira, p...",Casa,Pelotas,Barro Duro,170000
28,0.0,MARQUES IMÓVEIS,0.0,1.0,1.0,33.0,,RS,"Loft STUDIO XAVANTE RESIDENCE 1 Dorm,Cozinha,Sacada,Terraço,wc,Elevador,Garagem,Porcelanato. Preço a partir de R$ 193.000,00",Apartamento,Pelotas,Centro,193000
29,0.0,MARQUES IMÓVEIS,0.0,2.0,2.0,100.0,,RS,"0332 - Casa, bairro AREAL, próxima ao shopping Pelotas, 2 dormitórios, estar social, jantar, cozinha, banheiro social, pátio, área serviço, ...",Casa,Pelotas,Areal,195000
